#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","1436"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","1956"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","7324"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","9596"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","10724"
"sqlwriter","C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe","3888"
"StartMenuExperienceHost","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","7680"
"steam","C:\Program Files (x86)\Steam\steam.exe","10500"
"SteamService","C:\Program Files (x86)\Common Files\Steam\SteamService.exe","9524"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","6836"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","7804"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","10792"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","11492"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","13016"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","13048"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","13068"
"SupportAssistAgent","C:\Program Files\Dell\SupportAssistAgent\bin\SupportAssistAgent.exe","12528"
"svchost","C:\WINDOWS\System32\svchost.exe","572"
"svchost","C:\WINDOWS\system32\svchost.exe","704"
"svchost","C:\WINDOWS\system32\svchost.exe","1008"
"svchost","C:\WINDOWS\system32\svchost.exe","1148"
"svchost","C:\WINDOWS\system32\svchost.exe","1232"
"svchost","C:\WINDOWS\System32\svchost.exe","1372"
"svchost","C:\WINDOWS\System32\svchost.exe","1384"
"svchost","C:\WINDOWS\system32\svchost.exe","1452"
"svchost","C:\WINDOWS\system32\svchost.exe","1556"
"svchost","C:\WINDOWS\system32\svchost.exe","1564"
"svchost","C:\WINDOWS\System32\svchost.exe","1632"
"svchost","C:\WINDOWS\System32\svchost.exe","1696"
"svchost","C:\WINDOWS\system32\svchost.exe","1756"
"svchost","C:\WINDOWS\system32\svchost.exe","1780"
"svchost","C:\WINDOWS\system32\svchost.exe","1844"
"svchost","C:\WINDOWS\system32\svchost.exe","1896"
"svchost","C:\WINDOWS\system32\svchost.exe","1904"
"svchost","C:\WINDOWS\System32\svchost.exe","1912"
"svchost","C:\WINDOWS\system32\svchost.exe","1952"
"svchost","C:\WINDOWS\System32\svchost.exe","2016"
"svchost","C:\WINDOWS\system32\svchost.exe","2156"
"svchost","C:\WINDOWS\System32\svchost.exe","2276"
"svchost","C:\WINDOWS\system32\svchost.exe","2288"
"svchost","C:\WINDOWS\System32\svchost.exe","2428"
"svchost","C:\WINDOWS\system32\svchost.exe","2480"
"svchost","C:\WINDOWS\system32\svchost.exe","2496"
"svchost","C:\WINDOWS\system32\svchost.exe","2548"
"svchost",,"2588"
"svchost","C:\WINDOWS\System32\svchost.exe","2600"
"svchost","C:\WINDOWS\system32\svchost.exe","2624"
"svchost","C:\WINDOWS\system32\svchost.exe","2672"
