"Name","PathName","State"
"RpcEptMapper","C:\WINDOWS\system32\svchost.exe -k RPCSS -p","Running"
"RpcLocator","C:\WINDOWS\system32\locator.exe","Stopped"
"RpcSs","C:\WINDOWS\system32\svchost.exe -k rpcss -p","Running"
"RstMwService","C:\WINDOWS\System32\DriverStore\FileRepository\iastorac.inf_amd64_f881c4be237ce854\RstMwService.exe","Running"
"RtkAudioService","""C:\Program Files\Realtek\Audio\HDA\RtkAudioService64.exe""","Running"
"SamSs","C:\WINDOWS\system32\lsass.exe","Running"
"SCardSvr","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped"
"ScDeviceEnum","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted","Stopped"
"Schedule","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"SCPolicySvc","C:\WINDOWS\system32\svchost.exe -k netsvcs","Stopped"
"SDRSVC","C:\WINDOWS\system32\svchost.exe -k SDRSVC","Stopped"
"seclogon","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Stopped"
"SecurityHealthService","C:\WINDOWS\system32\SecurityHealthService.exe","Running"
"SEMgrSvc","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Running"
"SENS","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"SensorDataService","C:\WINDOWS\System32\SensorDataService.exe","Stopped"
"SensorService","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"SensrSvc","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Stopped"
"SessionEnv","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Running"
"SgrmBroker","C:\WINDOWS\system32\SgrmBroker.exe","Running"
"SharedAccess","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Stopped"
"SharedRealitySvc","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Stopped"
"ShellHWDetection","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Running"
"shpamsvc","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Stopped"
"SmartByte Analytics Service","""C:\Program Files\Rivet Networks\SmartByte\SmartByteAnalyticsService.exe""","Running"
"SmartByte Network Service x64","""C:\Program Files\Rivet Networks\SmartByte\SmartByteNetworkService.exe""","Running"
"smphost","C:\WINDOWS\System32\svchost.exe -k smphost","Running"
"SmsRouter","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Stopped"
"SNMPTRAP","C:\WINDOWS\System32\snmptrap.exe","Stopped"
"spectrum","C:\WINDOWS\system32\spectrum.exe","Stopped"
"Spooler","C:\WINDOWS\System32\spoolsv.exe","Running"
"sppsvc","C:\WINDOWS\system32\sppsvc.exe","Stopped"
"SQLWriter","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe""","Running"
"SSDPSRV","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Running"
"ssh-agent","C:\WINDOWS\System32\OpenSSH\ssh-agent.exe","Stopped"
"SstpSvc","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Running"
"ss_conn_launcher_service","C:\WINDOWS\System32\Samsung\EasySetup\ss_conn_launcher.exe","Stopped"
"StateRepository","C:\WINDOWS\system32\svchost.exe -k appmodel -p","Running"
"Steam Client Service","""C:\Program Files (x86)\Common Files\Steam\SteamService.exe"" /RunAsService","Running"
"stisvc","C:\WINDOWS\system32\svchost.exe -k imgsvc","Stopped"
"StorSvc","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"SupportAssistAgent","""C:\Program Files\Dell\SupportAssistAgent\bin\SupportAssistAgent.exe""","Running"
"svsvc","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"swprv","C:\WINDOWS\System32\svchost.exe -k swprv","Stopped"
"SysMain","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"SystemEventsBroker","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Running"
"TabletInputService","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"TapiSrv","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Running"
"TermService","C:\WINDOWS\System32\svchost.exe -k NetworkService","Running"
"Themes","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Running"
"TieringEngineService","C:\WINDOWS\system32\TieringEngineService.exe","Stopped"
"TimeBrokerSvc","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Running"
"TokenBroker","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"TrkWks","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"TroubleshootingSvc","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Stopped"
"TrustedInstaller","C:\WINDOWS\servicing\TrustedInstaller.exe","Stopped"
"tzautoupdate","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Stopped"
"uhssvc","""C:\Program Files\Microsoft Update Health Tools\uhssvc.exe""","Stopped"
"UmRdpService","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"upnphost","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Stopped"
"UserManager","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"UsoSvc","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"VacSvc","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Stopped"
"VaultSvc","C:\WINDOWS\system32\lsass.exe","Running"
"VBoxSDS","""C:\Program Files\Oracle\VirtualBox\VBoxSDS.exe""","Stopped"
"vds","C:\WINDOWS\System32\vds.exe","Stopped"
"VMAuthdService","""C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe""","Running"
"vmicguestinterface","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"vmicheartbeat","C:\WINDOWS\system32\svchost.exe -k ICService -p","Stopped"
"vmickvpexchange","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"vmicrdv","C:\WINDOWS\system32\svchost.exe -k ICService -p","Stopped"
"vmicshutdown","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"vmictimesync","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Stopped"
"vmicvmsession","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"vmicvss","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Stopped"
"VMnetDHCP","C:\WINDOWS\SysWOW64\vmnetdhcp.exe","Stopped"
"VMUSBArbService","""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""","Running"
"VMware NAT Service","C:\WINDOWS\SysWOW64\vmnat.exe","Stopped"
"VMwareHostd","""C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe"" -u ""C:\ProgramData\VMware\hostd\config.xml""","Running"
"VSS","C:\WINDOWS\system32\vssvc.exe","Stopped"
"VSStandardCollectorService150","""C:\Program Files (x86)\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe""","Stopped"
